question_text,label
Evaluate ∫ 4xsin(x),by_parts
Integration of 2*x*sin(x),by_parts
Evaluate ∫ 5xsin(x),by_parts
Find the integral of 1*x*sin(x),by_parts
Find the integral of 1*x*log(x),by_parts
Compute ∫ 3*x*sin(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Compute ∫ 3*x*exp(x),by_parts
Find the integral of 1*x*log(x),by_parts
Integration of 3*x*log(x),by_parts
Evaluate ∫ 4xcos(x),by_parts
Find the integral of 2*x*cos(x),by_parts
Evaluate ∫ 2xsin(x),by_parts
Integration of 4*x*exp(x),by_parts
Evaluate ∫ 2xexp(x),by_parts
Evaluate ∫ 4xcos(x),by_parts
Integration of 2*x*exp(x),by_parts
Compute ∫ 3*x*sin(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Compute ∫ 1*x*sin(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Evaluate ∫ 5xexp(x),by_parts
Compute ∫ 1*x*log(x),by_parts
Find the integral of 1*x*cos(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Evaluate ∫ 4xcos(x),by_parts
Compute ∫ 5*x*log(x),by_parts
Evaluate ∫ 3xlog(x),by_parts
Find the integral of 2*x*cos(x),by_parts
Find the integral of 2*x*sin(x),by_parts
Integration of 4*x*log(x),by_parts
Compute ∫ 5*x*exp(x),by_parts
Compute ∫ 2*x*sin(x),by_parts
Integration of 1*x*log(x),by_parts
Evaluate ∫ 1xexp(x),by_parts
Integration of 5*x*log(x),by_parts
Evaluate ∫ 4xcos(x),by_parts
Compute ∫ 1*x*exp(x),by_parts
Find the integral of 2*x*exp(x),by_parts
Find the integral of 5*x*sin(x),by_parts
Integration of 2*x*log(x),by_parts
Find the integral of 1*x*log(x),by_parts
Integration of 4*x*log(x),by_parts
Compute ∫ 5*x*log(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Find the integral of 3*x*exp(x),by_parts
Evaluate ∫ 4xexp(x),by_parts
Evaluate ∫ 3xexp(x),by_parts
Find the integral of 1*x*exp(x),by_parts
Compute ∫ 1*x*log(x),by_parts
Find the integral of 5*x*sin(x),by_parts
Integration of 1*x*exp(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Find the integral of 4*x*sin(x),by_parts
Evaluate ∫ 1xexp(x),by_parts
Evaluate ∫ 4xsin(x),by_parts
Compute ∫ 3*x*log(x),by_parts
Integration of 2*x*exp(x),by_parts
Evaluate ∫ 4xsin(x),by_parts
Find the integral of 3*x*log(x),by_parts
Integration of 3*x*log(x),by_parts
Evaluate ∫ 3xsin(x),by_parts
Integration of 4*x*cos(x),by_parts
Evaluate ∫ 5xsin(x),by_parts
Evaluate ∫ 2xcos(x),by_parts
Integration of 5*x*exp(x),by_parts
Compute ∫ 3*x*sin(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Find the integral of 4*x*log(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Integration of 1*x*cos(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Compute ∫ 2*x*exp(x),by_parts
Integration of 1*x*log(x),by_parts
Find the integral of 2*x*log(x),by_parts
Compute ∫ 1*x*sin(x),by_parts
Integration of 3*x*sin(x),by_parts
Compute ∫ 4*x*log(x),by_parts
Compute ∫ 4*x*exp(x),by_parts
Find the integral of 5*x*log(x),by_parts
Compute ∫ 5*x*cos(x),by_parts
Find the integral of 1*x*cos(x),by_parts
Find the integral of 1*x*log(x),by_parts
Compute ∫ 2*x*cos(x),by_parts
Find the integral of 4*x*log(x),by_parts
Compute ∫ 2*x*log(x),by_parts
Compute ∫ 4*x*cos(x),by_parts
Evaluate ∫ 5xlog(x),by_parts
Integration of 2*x*sin(x),by_parts
Evaluate ∫ 4xcos(x),by_parts
Find the integral of 1*x*log(x),by_parts
Integration of 4*x*cos(x),by_parts
Evaluate ∫ 4xexp(x),by_parts
Evaluate ∫ 1xlog(x),by_parts
Integration of 4*x*sin(x),by_parts
Evaluate ∫ 3xexp(x),by_parts
Integration of 3*x*sin(x),by_parts
Compute ∫ 5*x*cos(x),by_parts
Evaluate ∫ 3xexp(x),by_parts
Find the integral of 4*x*log(x),by_parts
Find the integral of 4*x*log(x),by_parts
Find the integral of 5*x*sin(x),by_parts
Evaluate ∫ 5xsin(x),by_parts
Find the integral of 4*x*sin(x),by_parts
Evaluate ∫ 5xlog(x),by_parts
Integration of 5*x*sin(x),by_parts
Find the integral of 4*x*sin(x),by_parts
Integration of 3*x*log(x),by_parts
Evaluate ∫ 1xlog(x),by_parts
Integration of 4*x*cos(x),by_parts
Compute ∫ 4*x*cos(x),by_parts
Evaluate ∫ 2xexp(x),by_parts
Evaluate ∫ 5xcos(x),by_parts
Evaluate ∫ 1xcos(x),by_parts
Compute ∫ 5*x*cos(x),by_parts
Integration of 4*x*log(x),by_parts
Compute ∫ 4*x*log(x),by_parts
Integration of 3*x*sin(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Integration of 5*x*sin(x),by_parts
Find the integral of 1*x*cos(x),by_parts
Compute ∫ 2*x*sin(x),by_parts
Compute ∫ 4*x*log(x),by_parts
Integration of 1*x*sin(x),by_parts
Integration of 2*x*log(x),by_parts
Evaluate ∫ 2xlog(x),by_parts
Find the integral of 2*x*sin(x),by_parts
Evaluate ∫ 1xexp(x),by_parts
Compute ∫ 4*x*sin(x),by_parts
Compute ∫ 1*x*cos(x),by_parts
Compute ∫ 2*x*cos(x),by_parts
Find the integral of 3*x*log(x),by_parts
Compute ∫ 4*x*exp(x),by_parts
Compute ∫ 2*x*exp(x),by_parts
Compute ∫ 2*x*sin(x),by_parts
Compute ∫ 2*x*sin(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Integration of 3*x*cos(x),by_parts
Compute ∫ 2*x*log(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Integration of 3*x*log(x),by_parts
Integration of 3*x*exp(x),by_parts
Find the integral of 5*x*cos(x),by_parts
Compute ∫ 1*x*sin(x),by_parts
Evaluate ∫ 2xsin(x),by_parts
Compute ∫ 4*x*exp(x),by_parts
Find the integral of 3*x*log(x),by_parts
Compute ∫ 3*x*sin(x),by_parts
Find the integral of 2*x*cos(x),by_parts
Integration of 4*x*log(x),by_parts
Find the integral of 2*x*sin(x),by_parts
Evaluate ∫ 3xexp(x),by_parts
Integration of 1*x*sin(x),by_parts
Find the integral of 1*x*log(x),by_parts
Find the integral of 3*x*sin(x),by_parts
Evaluate ∫ 1xlog(x),by_parts
Integration of 4*x*exp(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Evaluate ∫ 5xlog(x),by_parts
Find the integral of 5*x*log(x),by_parts
Compute ∫ 4*x*log(x),by_parts
Find the integral of 1*x*sin(x),by_parts
Compute ∫ 5*x*sin(x),by_parts
Evaluate ∫ 2xlog(x),by_parts
Evaluate ∫ 5xlog(x),by_parts
Compute ∫ 5*x*cos(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Evaluate ∫ 3xsin(x),by_parts
Compute ∫ 2*x*exp(x),by_parts
Compute ∫ 2*x*sin(x),by_parts
Find the integral of 3*x*sin(x),by_parts
Find the integral of 5*x*log(x),by_parts
Evaluate ∫ 4xcos(x),by_parts
Find the integral of 2*x*exp(x),by_parts
Evaluate ∫ 4xcos(x),by_parts
Integration of 5*x*cos(x),by_parts
Integration of 2*x*sin(x),by_parts
Integration of 4*x*log(x),by_parts
Compute ∫ 2*x*exp(x),by_parts
Evaluate ∫ 2xsin(x),by_parts
Find the integral of 1*x*sin(x),by_parts
Compute ∫ 2*x*log(x),by_parts
Find the integral of 3*x*log(x),by_parts
Compute ∫ 1*x*exp(x),by_parts
Evaluate ∫ 2xlog(x),by_parts
Compute ∫ 5*x*log(x),by_parts
Compute ∫ 2*x*cos(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Find the integral of 3*x*log(x),by_parts
Compute ∫ 4*x*sin(x),by_parts
Integration of 5*x*cos(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Integration of 3*x*log(x),by_parts
Integration of 1*x*log(x),by_parts
Integration of 2*x*log(x),by_parts
Compute ∫ 1*x*log(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Find the integral of 3*x*sin(x),by_parts
Evaluate ∫ 4xlog(x),by_parts
Integration of 4*x*exp(x),by_parts
Integration of 3*x*sin(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Compute ∫ 3*x*exp(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Evaluate ∫ 5xlog(x),by_parts
Find the integral of 2*x*log(x),by_parts
Compute ∫ 4*x*cos(x),by_parts
Find the integral of 2*x*cos(x),by_parts
Compute ∫ 4*x*log(x),by_parts
Integration of 1*x*log(x),by_parts
Integration of 2*x*exp(x),by_parts
Integration of 4*x*sin(x),by_parts
Find the integral of 1*x*log(x),by_parts
Evaluate ∫ 1xexp(x),by_parts
Compute ∫ 2*x*exp(x),by_parts
Integration of 3*x*cos(x),by_parts
Compute ∫ 1*x*log(x),by_parts
Evaluate ∫ 2xsin(x),by_parts
Evaluate ∫ 2xexp(x),by_parts
Find the integral of 4*x*log(x),by_parts
Find the integral of 3*x*exp(x),by_parts
Integration of 5*x*sin(x),by_parts
Find the integral of 2*x*exp(x),by_parts
Find the integral of 2*x*cos(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Integration of 5*x*exp(x),by_parts
Find the integral of 4*x*log(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Evaluate ∫ 4xlog(x),by_parts
Find the integral of 4*x*sin(x),by_parts
Compute ∫ 1*x*cos(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Find the integral of 3*x*sin(x),by_parts
Integration of 1*x*exp(x),by_parts
Compute ∫ 5*x*cos(x),by_parts
Evaluate ∫ 1xlog(x),by_parts
Find the integral of 1*x*log(x),by_parts
Integration of 1*x*cos(x),by_parts
Compute ∫ 5*x*exp(x),by_parts
Find the integral of 5*x*log(x),by_parts
Integration of 5*x*cos(x),by_parts
Integration of 3*x*cos(x),by_parts
Compute ∫ 1*x*sin(x),by_parts
Evaluate ∫ 1xexp(x),by_parts
Integration of 2*x*sin(x),by_parts
Find the integral of 3*x*sin(x),by_parts
Compute ∫ 3*x*exp(x),by_parts
Compute ∫ 4*x*exp(x),by_parts
Evaluate ∫ 5xlog(x),by_parts
Compute ∫ 1*x*log(x),by_parts
Compute ∫ 5*x*cos(x),by_parts
Compute ∫ 1*x*exp(x),by_parts
Find the integral of 2*x*sin(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Find the integral of 2*x*cos(x),by_parts
Evaluate ∫ 5xexp(x),by_parts
Integration of 2*x*exp(x),by_parts
Compute ∫ 1*x*exp(x),by_parts
Integration of 3*x*sin(x),by_parts
Evaluate ∫ 2xcos(x),by_parts
Evaluate ∫ 3xexp(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Integration of 2*x*log(x),by_parts
Evaluate ∫ 1xexp(x),by_parts
Integration of 1*x*cos(x),by_parts
Find the integral of 3*x*log(x),by_parts
Find the integral of 2*x*exp(x),by_parts
Integration of 2*x*exp(x),by_parts
Integration of 4*x*cos(x),by_parts
Integration of 3*x*cos(x),by_parts
Evaluate ∫ 4xlog(x),by_parts
Evaluate ∫ 2xexp(x),by_parts
Find the integral of 4*x*exp(x),by_parts
Evaluate ∫ 3xcos(x),by_parts
Compute ∫ 4*x*cos(x),by_parts
Evaluate ∫ 1xcos(x),by_parts
Compute ∫ 4*x*cos(x),by_parts
Compute ∫ 5*x*exp(x),by_parts
Integration of 2*x*log(x),by_parts
Compute ∫ 3*x*sin(x),by_parts
Evaluate ∫ 2xlog(x),by_parts
Find the integral of 1*x*log(x),by_parts
Find the integral of 2*x*sin(x),by_parts
Evaluate ∫ 4xcos(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Integration of 3*x*exp(x),by_parts
Integration of 5*x*sin(x),by_parts
Integration of 5*x*sin(x),by_parts
Evaluate ∫ 2xlog(x),by_parts
Integration of 2*x*cos(x),by_parts
Find the integral of 1*x*exp(x),by_parts
Evaluate ∫ 3xexp(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Integration of 3*x*exp(x),by_parts
Evaluate ∫ 5xlog(x),by_parts
Evaluate ∫ 1xcos(x),by_parts
Evaluate ∫ 3xcos(x),by_parts
Compute ∫ 2*x*exp(x),by_parts
Compute ∫ 4*x*exp(x),by_parts
Evaluate ∫ 3xsin(x),by_parts
Evaluate ∫ 3xexp(x),by_parts
Evaluate ∫ 3xlog(x),by_parts
Find the integral of 3*x*exp(x),by_parts
Find the integral of 1*x*sin(x),by_parts
Find the integral of 2*x*exp(x),by_parts
Integration of 5*x*sin(x),by_parts
Evaluate ∫ 1xcos(x),by_parts
Find the integral of 5*x*cos(x),by_parts
Integration of 3*x*sin(x),by_parts
Find the integral of 3*x*exp(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Compute ∫ 5*x*log(x),by_parts
Find the integral of 3*x*sin(x),by_parts
Find the integral of 1*x*log(x),by_parts
Compute ∫ 4*x*log(x),by_parts
Find the integral of 1*x*sin(x),by_parts
Evaluate ∫ 3xcos(x),by_parts
Compute ∫ 1*x*log(x),by_parts
Evaluate ∫ 5xexp(x),by_parts
Find the integral of 2*x*cos(x),by_parts
Find the integral of 4*x*exp(x),by_parts
Compute ∫ 1*x*sin(x),by_parts
Evaluate ∫ 3xcos(x),by_parts
Compute ∫ 5*x*cos(x),by_parts
Compute ∫ 2*x*exp(x),by_parts
Integration of 5*x*sin(x),by_parts
Find the integral of 3*x*log(x),by_parts
Compute ∫ 4*x*cos(x),by_parts
Evaluate ∫ 4xlog(x),by_parts
Integration of 5*x*exp(x),by_parts
Find the integral of 2*x*log(x),by_parts
Integration of 3*x*exp(x),by_parts
Integration of 2*x*log(x),by_parts
Integration of 3*x*exp(x),by_parts
Integration of 3*x*sin(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Integration of 3*x*cos(x),by_parts
Find the integral of 2*x*exp(x),by_parts
Find the integral of 5*x*sin(x),by_parts
Integration of 5*x*cos(x),by_parts
Integration of 5*x*exp(x),by_parts
Find the integral of 3*x*log(x),by_parts
Compute ∫ 1*x*exp(x),by_parts
Find the integral of 1*x*log(x),by_parts
Integration of 2*x*cos(x),by_parts
Integration of 2*x*log(x),by_parts
Integration of 5*x*log(x),by_parts
Find the integral of 5*x*log(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Compute ∫ 1*x*cos(x),by_parts
Compute ∫ 4*x*cos(x),by_parts
Find the integral of 2*x*sin(x),by_parts
Compute ∫ 3*x*sin(x),by_parts
Find the integral of 3*x*sin(x),by_parts
Integration of 4*x*cos(x),by_parts
Evaluate ∫ 5xlog(x),by_parts
Evaluate ∫ 2xsin(x),by_parts
Evaluate ∫ 3xsin(x),by_parts
Integration of 1*x*exp(x),by_parts
Evaluate ∫ 2xcos(x),by_parts
Evaluate ∫ 3xlog(x),by_parts
Compute ∫ 1*x*log(x),by_parts
Compute ∫ 4*x*exp(x),by_parts
Compute ∫ 5*x*log(x),by_parts
Evaluate ∫ 3xcos(x),by_parts
Find the integral of 3*x*sin(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Find the integral of 4*x*sin(x),by_parts
Find the integral of 4*x*cos(x),by_parts
Find the integral of 3*x*exp(x),by_parts
Evaluate ∫ 2xcos(x),by_parts
Integration of 2*x*exp(x),by_parts
Integration of 1*x*log(x),by_parts
Compute ∫ 2*x*sin(x),by_parts
Integration of 3*x*sin(x),by_parts
Integration of 1*x*cos(x),by_parts
Compute ∫ 2*x*exp(x),by_parts
Compute ∫ 1*x*exp(x),by_parts
Compute ∫ 4*x*sin(x),by_parts
Integration of 3*x*exp(x),by_parts
Compute ∫ 1*x*exp(x),by_parts
Integration of 3*x*sin(x),by_parts
Find the integral of 4*x*log(x),by_parts
Integration of 5*x*log(x),by_parts
Find the integral of 1*x*exp(x),by_parts
Compute ∫ 2*x*sin(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Find the integral of 3*x*cos(x),by_parts
Evaluate ∫ 1xsin(x),by_parts
Evaluate ∫ 3xsin(x),by_parts
Find the integral of 5*x*sin(x),by_parts
Integration of 4*x*log(x),by_parts
Integration of 4*x*sin(x),by_parts
Compute ∫ 2*x*cos(x),by_parts
Compute ∫ 4*x*log(x),by_parts
Compute ∫ 3*x*cos(x),by_parts
Compute ∫ 2*x*cos(x),by_parts
